ID,Cognateset_ID,Language_ID,ISO639P3code,Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1-1,HMU,hea,"I",1209,1,vi,1,v i,
2,1-1,XIANGXI_HMONG,mmr,"I",1209,1,we,1,w e,
3,1-2,HMONG_NJUA,hnj,"I",1209,1,ko,2,k o,
4,1-3,BUNU,bwx,"I",1209,1,Tun,3,T u n,
5,1-1,SHE_CHINA,shx,"I",1209,1,vaN,1,v a N,
6,1-4,YAO,ium,"I",1209,1,ye,4,y e,
7,66-1,HMU,hea,"come",1446,66,lo,1,l o,
8,66-1,XIANGXI_HMONG,mmr,"come",1446,66,lo,1,l o,
9,66-1,HMONG_NJUA,hnj,"come",1446,66,lo,1,l o,
10,66-1,BUNU,bwx,"come",1446,66,lo,1,l o,also: to
11,66-1,SHE_CHINA,shx,"come",1446,66,n3,1,n 3,
12,66-2,YAO,ium,"come",1446,66,tai,2,t a i,
13,75-2,HMONG_NJUA,hnj,"water",948,75,tle,2,t l e,
14,75-1,BUNU,bwx,"water",948,75,an,1,a n,
15,75-1,SHE_CHINA,shx,"water",948,75,oN,1,o N,
16,75-1,YAO,ium,"water",948,75,wam,1,w a m,
17,86-1,HMU,hea,"mountain",639,86,qapo,1,q a p o,
18,86-2,XIANGXI_HMONG,mmr,"mountain",639,86,qozei,2,q o z e i,
19,86-3,HMONG_NJUA,hnj,"mountain",639,86,ton,3,t o n,
20,86-4,BUNU,bwx,"mountain",639,86,8au,4,8 a u,
21,86-5,SHE_CHINA,shx,"mountain",639,86,ky~e,5,ky~ e,also: ho
22,86-6,YAO,ium,"mountain",639,86,tTim,6,t T i m,
23,72-1,HMU,hea,"sun",1343,72,nh~E,1,nh~ E,
24,72-1,XIANGXI_HMONG,mmr,"sun",1343,72,nh~e,1,nh~ e,
25,72-1,HMONG_NJUA,hnj,"sun",1343,72,nh~o,1,nh~ o,
26,72-1,BUNU,bwx,"sun",1343,72,minh~on,1,m i nh~ o n,
27,72-1,SHE_CHINA,shx,"sun",1343,72,noko,1,n o k o,
28,72-1,YAO,ium,"sun",1343,72,punh~oi,1,p u nh~ o i,
29,74-1,HMU,hea,"star",1430,74,tEqE,1,t E q E,
30,74-1,XIANGXI_HMONG,mmr,"star",1430,74,teteqelh~a,1,t e t e q e lh~ a,
31,74-1,HMONG_NJUA,hnj,"star",1430,74,hn~oqo,1,hn~ o q o,
32,74-1,BUNU,bwx,"star",1430,74,takuna,1,t a k u n a,
33,74-1,SHE_CHINA,shx,"star",1430,74,neitaN,1,n e i t a N,
34,74-2,YAO,ium,"star",1430,74,Lei,2,L e i,
35,77-1,HMU,hea,"stone",857,77,xi,1,x i,
36,77-1,XIANGXI_HMONG,mmr,"stone",857,77,qoz3,1,q o z 3,
37,77-1,HMONG_NJUA,hnj,"stone",857,77,ze,1,z e,
38,77-1,BUNU,bwx,"stone",857,77,faxe,1,f a x e,
39,77-1,SHE_CHINA,shx,"stone",857,77,Nako,1,N a k o,
40,77-2,YAO,ium,"stone",857,77,laipy~ei,2,l a i py~ e i,also: bEN
41,28-1,HMU,hea,"skin",763,28,qatu,1,q a t u,
42,28-2,XIANGXI_HMONG,mmr,"skin",763,28,qoTo,2,q o T o,
43,28-1,HMONG_NJUA,hnj,"skin",763,28,teu,1,t e u,
44,28-3,BUNU,bwx,"skin",763,28,katlau,3,k a t l a u,
45,28-3,SHE_CHINA,shx,"skin",763,28,kh~3,3,kh~ 3,
46,28-4,YAO,ium,"skin",763,28,dop,4,d o p,
47,82-1,HMU,hea,"fire",221,82,tu,1,t u,
48,82-1,XIANGXI_HMONG,mmr,"fire",221,82,py~it3,1,py~ i t 3,
49,82-1,HMONG_NJUA,hnj,"fire",221,82,teu,1,t e u,
50,82-1,BUNU,bwx,"fire",221,82,katu,1,k a t u,
51,82-1,SHE_CHINA,shx,"fire",221,82,th~o,1,th~ o,
52,82-1,YAO,ium,"fire",221,82,tou,1,t o u,
53,19-1,HMU,hea,"fish",227,19,zE,1,z E,
54,19-1,XIANGXI_HMONG,mmr,"fish",227,19,tamz3,1,t a m z 3,
55,19-1,HMONG_NJUA,hnj,"fish",227,19,nc~e,1,nc~ e,
56,19-1,BUNU,bwx,"fish",227,19,nc~e,1,nc~ e,
57,19-1,SHE_CHINA,shx,"fish",227,19,py~a,1,py~ a,
58,19-1,YAO,ium,"fish",227,19,by~au,1,by~ a u,
59,21-1,HMU,hea,"dog",2009,21,lh~a,1,lh~ a,
60,21-1,XIANGXI_HMONG,mmr,"dog",2009,21,taqw~3,1,t a qw~ 3,
61,21-1,HMONG_NJUA,hnj,"dog",2009,21,tle,1,t l e,
62,21-1,BUNU,bwx,"dog",2009,21,tle,1,t l e,
63,21-1,SHE_CHINA,shx,"dog",2009,21,ky~a,1,ky~ a,
64,21-1,YAO,ium,"dog",2009,21,tTu,1,t T u,
65,22-1,HMU,hea,"louse",1392,22,kantE,1,k a n t E,
66,22-1,XIANGXI_HMONG,mmr,"louse",1392,22,tate,1,t a t e,
67,22-1,HMONG_NJUA,hnj,"louse",1392,22,to,1,t o,
68,22-1,BUNU,bwx,"louse",1392,22,katuna,1,k a t u n a,
69,22-1,SHE_CHINA,shx,"louse",1392,22,taN,1,t a N,
70,22-1,YAO,ium,"louse",1392,22,tam,1,t a m,
71,23-1,HMU,hea,"tree",906,23,t3,1,t 3,
72,23-1,XIANGXI_HMONG,mmr,"tree",906,23,qont~u,1,q o nt~ u,
73,23-1,HMONG_NJUA,hnj,"tree",906,23,nt~on,1,nt~ o n,
74,23-1,BUNU,bwx,"tree",906,23,nt~an,1,nt~ a n,
75,23-1,SHE_CHINA,shx,"tree",906,23,toN,1,t o N,
76,23-1,YAO,ium,"tree",906,23,dy~aN,1,dy~ a N,
77,25-1,HMU,hea,"leaf",628,25,nu,1,n u,
78,25-1,XIANGXI_HMONG,mmr,"leaf",628,25,n3,1,n 3,
79,25-1,HMONG_NJUA,hnj,"leaf",628,25,mpl$on,1,mpl$ o n,
80,25-1,BUNU,bwx,"leaf",628,25,nt~Lan,1,nt~ L a n,
81,25-1,SHE_CHINA,shx,"leaf",628,25,pyoN,1,p y o N,
82,25-1,YAO,ium,"leaf",628,25,nom,1,n o m,
83,92-1,HMU,hea,"night",1233,92,Th~imh~am,1,Th~ i mh~ a m,
84,92-1,XIANGXI_HMONG,mmr,"night",1233,92,tTh~mh~an,1,t Th~ mh~ a n,
85,92-1,HMONG_NJUA,hnj,"night",1233,92,mh~au,1,mh~ a u,
86,92-1,BUNU,bwx,"night",1233,92,nt~onmun,1,nt~ o n m u n,
87,92-2,SHE_CHINA,shx,"night",1233,92,mokaNch~i,2,m o k a N ch~ i,
88,92-1,YAO,ium,"night",1233,92,luNmw~ancan,1,l u N mw~ a n c a n,
89,30-1,HMU,hea,"blood",946,30,Th~n,1,Th~ n,
90,30-1,XIANGXI_HMONG,mmr,"blood",946,30,nt~ch~i,1,nt~ ch~ i,
91,30-1,HMONG_NJUA,hnj,"blood",946,30,nch$an,1,nch$ a n,
92,30-1,BUNU,bwx,"blood",946,30,nch$3n,1,nch$ 3 n,
93,30-1,SHE_CHINA,shx,"blood",946,30,sy~i,1,sy~ i,
94,30-1,YAO,ium,"blood",946,30,cy~am,1,cy~ a m,
95,95-1,HMU,hea,"full",1429,95,pe,1,p e,
96,95-1,XIANGXI_HMONG,mmr,"full",1429,95,pe,1,p e,
97,95-1,HMONG_NJUA,hnj,"full",1429,95,po,1,p o,
98,95-2,BUNU,bwx,"full",1429,95,Ten,2,T e n,
99,95-1,SHE_CHINA,shx,"full",1429,95,paN,1,p a N,
100,95-1,YAO,ium,"full",1429,95,pw~aN,1,pw~ a N,
101,3-1,HMU,hea,"we",1212,3,pi,1,p i,
102,3-1,XIANGXI_HMONG,mmr,"we",1212,3,p3,1,p 3,
103,3-1,HMONG_NJUA,hnj,"we",1212,3,pe,1,p e,
104,3-1,BUNU,bwx,"we",1212,3,pe,1,p e,
105,3-1,SHE_CHINA,shx,"we",1212,3,pa,1,p a,
106,3-2,YAO,ium,"we",1212,3,yebw~o,2,y e bw~ o,
107,34-1,HMU,hea,"horn",1393,34,ki,1,k i,
108,34-1,XIANGXI_HMONG,mmr,"horn",1393,34,qoTe,1,q o T e,
109,34-1,HMONG_NJUA,hnj,"horn",1393,34,ko,1,k o,
110,34-1,BUNU,bwx,"horn",1393,34,Tun,1,T u n,
111,34-1,SHE_CHINA,shx,"horn",1393,34,kaN,1,k a N,
112,34-1,YAO,ium,"horn",1393,34,tT~oN,1,tT~ o N,
113,100-1,HMU,hea,"name",1405,100,zanpi,1,z a n p i,
114,100-1,XIANGXI_HMONG,mmr,"name",1405,100,mp~u,1,mp~ u,
115,100-1,HMONG_NJUA,hnj,"name",1405,100,mp~e,1,mp~ e,
116,100-1,BUNU,bwx,"name",1405,100,mp~e83,1,mp~ e 8 3,
117,100-2,SHE_CHINA,shx,"name",1405,100,mui,2,m u i,
118,100-1,YAO,ium,"name",1405,100,meNbw~o,1,m e N bw~ o,
119,39-1,HMU,hea,"ear",1247,39,qazE,1,q a z E,
120,39-1,XIANGXI_HMONG,mmr,"ear",1247,39,tonmz3,1,t o n m z 3,
121,39-1,HMONG_NJUA,hnj,"ear",1247,39,5tT$ou,1,5tT$ o u,
122,39-1,BUNU,bwx,"ear",1247,39,kanc~ea,1,k a nc~ e a,
123,39-2,SHE_CHINA,shx,"ear",1247,39,kakh~uN,2,k a kh~ u N,
124,39-1,YAO,ium,"ear",1247,39,n3nom,1,n 3 n o m,
125,40-1,HMU,hea,"eye",1248,40,5h~umE,1,5h~ u m E,
126,40-2,XIANGXI_HMONG,mmr,"eye",1248,40,l3qe,2,l 3 q e,
127,40-1,HMONG_NJUA,hnj,"eye",1248,40,mua,1,m u a,
128,40-1,BUNU,bwx,"eye",1248,40,kh~i mon,1,kh~ i _ m o n,
129,40-3,SHE_CHINA,shx,"eye",1248,40,kakh~o,3,k a kh~ o,
130,40-1,YAO,ium,"eye",1248,40,mw~ciN,1,mw~ c i N,
131,41-1,HMU,hea,"nose",1221,41,pozE,1,p o z E,
132,41-1,XIANGXI_HMONG,mmr,"nose",1221,41,pamzE,1,p a m z E,
133,41-1,HMONG_NJUA,hnj,"nose",1221,41,nc~u,1,nc~ u,
134,41-1,BUNU,bwx,"nose",1221,41,pinc~au,1,p i nc~ a u,
135,41-1,SHE_CHINA,shx,"nose",1221,41,kh~uNpiu,1,kh~ u N p i u,
136,41-1,YAO,ium,"nose",1221,41,by~ut,1,by~ u t,
137,43-1,HMU,hea,"tooth",1380,43,mh~i,1,mh~ i,
138,43-2,XIANGXI_HMONG,mmr,"tooth",1380,43,qoTE,2,q o T E,
139,43-1,BUNU,bwx,"tooth",1380,43,famh~in,1,f a mh~ i n,
140,43-1,SHE_CHINA,shx,"tooth",1380,43,mun,1,m u n,
141,44-1,HMU,hea,"tongue",1205,44,qani,1,q a n i,
142,44-1,XIANGXI_HMONG,mmr,"tongue",1205,44,qomy~a,1,q o my~ a,
143,44-1,HMONG_NJUA,hnj,"tongue",1205,44,mp~lai,1,mp~ l a i,
144,44-1,BUNU,bwx,"tongue",1205,44,kant~la,1,k a nt~ l a,
145,44-1,SHE_CHINA,shx,"tongue",1205,44,pi,1,p i,
146,44-1,YAO,ium,"tongue",1205,44,by~et,1,by~ e t,
147,18-1,HMU,hea,"person",683,18,nE,1,n E,
148,18-1,XIANGXI_HMONG,mmr,"person",683,18,ne,1,n e,
149,18-1,HMONG_NJUA,hnj,"person",683,18,nen,1,n e n,
150,18-1,BUNU,bwx,"person",683,18,nu,1,n u,
151,18-1,SHE_CHINA,shx,"person",683,18,ne,1,n e,
152,18-1,YAO,ium,"person",683,18,my~en,1,my~ e n,
153,47-1,HMU,hea,"knee",1371,47,qh~anv3t3,1,qh~ a n v 3 t 3,
154,47-1,XIANGXI_HMONG,mmr,"knee",1371,47,qh~utT~o,1,qh~ u tT~ o,
155,47-1,HMONG_NJUA,hnj,"knee",1371,47,qh~auco,1,qh~ a u c o,
156,47-1,BUNU,bwx,"knee",1371,47,kuNaTo,1,k u N a T o,
157,47-1,SHE_CHINA,shx,"knee",1371,47,nakch~akkh~un,1,n a k ch~ a kkh~ u n,
158,47-2,YAO,ium,"knee",1371,47,pw~oseidy~e,2,pw~ o s e i dy~ e,
159,48-1,HMU,hea,"hand",1277,48,pi,1,p i,
160,48-1,XIANGXI_HMONG,mmr,"hand",1277,48,qot3,1,q o t 3,
161,48-1,HMONG_NJUA,hnj,"hand",1277,48,te,1,t e,
162,48-1,BUNU,bwx,"hand",1277,48,tape,1,t a p e,
163,48-1,SHE_CHINA,shx,"hand",1277,48,khw$a,1,khw$ a,
164,48-1,YAO,ium,"hand",1277,48,pw~o,1,pw~ o,
165,51-2,XIANGXI_HMONG,mmr,"breast",1402,51,ma,2,m a,
166,51-3,HMONG_NJUA,hnj,"breast",1402,51,kua,3,k u a,
167,51-3,BUNU,bwx,"breast",1402,51,kon,3,k o n,
168,53-1,HMU,hea,"liver",1224,53,fh~u zE Ton,1,fh~ u _ z E _ T o n,
169,53-2,XIANGXI_HMONG,mmr,"liver",1224,53,sE,2,s E,
170,53-2,HMONG_NJUA,hnj,"liver",1224,53,sa,2,s a,
171,53-3,BUNU,bwx,"liver",1224,53,nT~au,3,nT~ a u,
172,53-2,SHE_CHINA,shx,"liver",1224,53,hin,2,h i n,
173,53-2,YAO,ium,"liver",1224,53,Lan,2,L a n,
174,54-1,HMU,hea,"drink",1401,54,h3,1,h 3,
175,54-1,XIANGXI_HMONG,mmr,"drink",1401,54,hu,1,h u,
176,54-1,HMONG_NJUA,hnj,"drink",1401,54,hou,1,h o u,
177,54-1,BUNU,bwx,"drink",1401,54,h3u,1,h 3 u,
178,54-1,YAO,ium,"drink",1401,54,hop,1,h o p,
179,2-1,HMU,hea,"you",1213,2,mon,1,m o n,
180,2-1,XIANGXI_HMONG,mmr,"you",1213,2,m3,1,m 3,
181,2-2,HMONG_NJUA,hnj,"you",1213,2,kau,2,k a u,
182,2-2,BUNU,bwx,"you",1213,2,kau,2,k a u,
183,2-1,SHE_CHINA,shx,"you",1213,2,muN,1,m u N,
184,2-1,YAO,ium,"you",1213,2,mw~ei,1,mw~ e i,
185,57-1,HMU,hea,"see",1409,57,Th~i,1,Th~ i,
186,57-1,XIANGXI_HMONG,mmr,"see",1409,57,tTinqh$e,1,t T i nqh$ e,
187,57-2,HMONG_NJUA,hnj,"see",1409,57,ma,2,m a,
188,57-3,BUNU,bwx,"see",1409,57,nk~on,3,nk~ o n,also: nt~a
189,57-2,SHE_CHINA,shx,"see",1409,57,mo,2,m o,
190,57-2,YAO,ium,"see",1409,57,maN,2,m a N,
191,58-1,HMU,hea,"hear",1408,58,nh~an,1,nh~ a n,
192,58-2,XIANGXI_HMONG,mmr,"hear",1408,58,ton,2,t o n,
193,58-3,HMONG_NJUA,hnj,"hear",1408,58,non,3,n o n,
194,58-2,BUNU,bwx,"hear",1408,58,T3n,2,T 3 n,
195,58-4,SHE_CHINA,shx,"hear",1408,58,kuN,4,k u N,
196,58-5,YAO,ium,"hear",1408,58,mw~aN,5,mw~ a N,
197,31-1,HMU,hea,"bone",1394,31,sh~on,1,sh~ o n,
198,31-1,XIANGXI_HMONG,mmr,"bone",1394,31,qoson,1,q o s o n,
199,31-1,HMONG_NJUA,hnj,"bone",1394,31,ch~an,1,ch~ a n,
200,31-1,BUNU,bwx,"bone",1394,31,ka8ona,1,k a 8 o n a,
201,31-1,SHE_CHINA,shx,"bone",1394,31,suNko,1,s u N k o,
202,31-1,YAO,ium,"bone",1394,31,buN,1,b u N,
203,85-1,HMU,hea,"road (path)",667,85,ki,1,k i,
204,85-1,XIANGXI_HMONG,mmr,"road (path)",667,85,k3,1,k 3,
205,85-1,HMONG_NJUA,hnj,"road (path)",667,85,ke,1,k e,
206,85-1,BUNU,bwx,"road (path)",667,85,Te,1,T e,
207,85-1,SHE_CHINA,shx,"road (path)",667,85,ka,1,k a,
208,85-1,YAO,ium,"road (path)",667,85,tTau,1,t T a u,
